observation_date,CPALTT01USM657N
2009-01-01,0.2128269382888683947
2010-01-01,-0.1004834508906961021
2011-01-01,0.1203428676899049032
2012-01-01,-0.0995939028456400977
2013-01-01,-0.0199804316863450987
2014-01-01,-0.0611581466461421988
2015-01-01,-0.0023446045327710002
2016-01-01,0.1103158288470413029
2017-01-01,0.0028466047994100000
2018-01-01,-0.0161497233413569995
2019-01-01,0.0305157257547430012
2020-01-01,-0.0753606817431102943
2021-01-01,0.4552170991678182177
2022-01-01,-0.0443989966168657976
2023-01-01,-0.2486179294304229070
