term,coefficient,std_err,t_stat,p_value,ci_lower,ci_upper,percent_effect_exact,percent_effect_approx,model
Intercept,11.062229620773637,0.010974455247212706,1007.9980620070617,0.0,11.040720083739155,11.08373915780812,6371746.161065878,1106.2229620773637,log_total_wages
C(Rank)[T.Associate],0.2685046203602482,0.0055030363339005715,48.792085690252236,0.0,0.25771886734018773,0.27929037338030865,30.800702048025606,26.85046203602482,log_total_wages
C(Rank)[T.Clinical],0.6618253534823049,0.008309945060979736,79.64256666268214,0.0,0.645538160449278,0.6781125465153317,93.83272395713989,66.18253534823049,log_total_wages
C(Rank)[T.Full],0.542760895436829,0.004825383014366197,112.48037592475328,0.0,0.5333033185170599,0.5522184723565982,72.07511238918696,54.2760895436829,log_total_wages
C(Rank)[T.Research],0.47862954248485745,0.011444761566788307,41.8208400141597,0.0,0.45619822200230414,0.5010608629674107,61.38611578084794,47.86295424848574,log_total_wages
"C(EmployerName)[T.University of California, Davis]",0.1844412157986295,0.007425783759988797,24.837945967727418,3.4903930579063376e-136,0.16988694707206903,0.19899548452518995,20.254628848390354,18.444121579862948,log_total_wages
"C(EmployerName)[T.University of California, Irvine]",0.21599806542703043,0.007626433898906415,28.322289065929393,1.8372394907641863e-176,0.20105052965469847,0.2309456011993624,24.109997799987926,21.599806542703043,log_total_wages
"C(EmployerName)[T.University of California, Los Angeles]",0.2516291204122208,0.007605519292399079,33.08506766443914,4.873372743587114e-240,0.23672257651539405,0.26653566430904757,28.61189535526716,25.16291204122208,log_total_wages
"C(EmployerName)[T.University of California, Merced]",-0.02314360792005332,0.009876111231745158,-2.343392796717593,0.019109252995908058,-0.04250043024158534,-0.0037867855985212993,-2.287784878268928,-2.3143607920053317,log_total_wages
"C(EmployerName)[T.University of California, Office of the President]",-0.9747308580821457,0.009182748573332648,-106.14805036836499,0.0,-0.9927287145649643,-0.9567330015993271,-62.2706114500768,-97.47308580821456,log_total_wages
"C(EmployerName)[T.University of California, Riverside]",-0.2664925155422017,0.01194916732385739,-22.30218293203827,3.5190886425574e-110,-0.28991245314220504,-0.24307257794219836,-23.39382627385187,-26.64925155422017,log_total_wages
"C(EmployerName)[T.University of California, San Diego]",0.2577445679212541,0.00770171220268167,33.46587890307166,1.5122729337230056e-245,0.24264948938470537,0.27283964645780284,29.400824519052215,25.77445679212541,log_total_wages
"C(EmployerName)[T.University of California, San Francisco]",0.2073614287251128,0.00899400933384994,23.055505173280768,1.2952815073055369e-117,0.18973349435414982,0.22498936309607576,23.04272031600185,20.73614287251128,log_total_wages
"C(EmployerName)[T.University of California, Santa Barbara]",0.040496808584803146,0.007890417080514482,5.132404050580633,2.8606456799942683e-07,0.02503187528399508,0.05596174188561121,4.132798638725377,4.049680858480315,log_total_wages
"C(EmployerName)[T.University of California, Santa Cruz]",-0.03139860646620163,0.008048274453953013,-3.9012842623402086,9.568371239173502e-05,-0.0471729345336433,-0.015624278398759954,-3.09107891478706,-3.139860646620163,log_total_wages
C(Year)[T.2011],0.02118648946973522,0.01123879424342444,1.8851212159285633,0.059413474281519316,-0.0008411424770327705,0.04321412141650321,2.1412516555719296,2.1186489469735217,log_total_wages
C(Year)[T.2012],0.021701427996666085,0.011630215973450951,1.8659522786339775,0.06204804239976278,-0.0010933764437202238,0.04449623243705239,2.193861665536323,2.1701427996666087,log_total_wages
C(Year)[T.2013],0.20960833176051108,0.010725763433931517,19.542509309631434,4.777478699314099e-85,0.18858622172330866,0.2306304417977135,23.319496205613177,20.960833176051107,log_total_wages
C(Year)[T.2014],0.23175776480596885,0.010837024352170732,21.385738120958095,1.8139496748103075e-101,0.21051758737613072,0.252997942235807,26.08142782430547,23.175776480596884,log_total_wages
C(Year)[T.2015],0.28173033058097086,0.010658464868161686,26.43254296615814,5.7928651525544764e-154,0.2608401233088885,0.3026205378530532,32.5421246211651,28.173033058097086,log_total_wages
C(Year)[T.2016],0.3259302890565814,0.010589283006957573,30.7792594496183,4.965966778773712e-208,0.30517567574084253,0.34668490237232025,38.531879362660874,32.59302890565814,log_total_wages
C(Year)[T.2017],0.359310829457791,0.01067150872711543,33.67010594713863,1.5837634337721435e-248,0.3383950566919399,0.38022660222364213,43.234194645659166,35.9310829457791,log_total_wages
C(Year)[T.2018],0.4147370474460075,0.010480039198096916,39.57399773097415,0.0,0.3941965480611695,0.43527754683084546,51.3972585388363,41.473704744600745,log_total_wages
C(Year)[T.2019],0.46203980865155875,0.01060004111975309,43.58849210410621,0.0,0.44126410982219905,0.48281550748091845,58.73084905785036,46.20398086515588,log_total_wages
C(Year)[T.2020],0.5100491351663501,0.010306368759339822,49.488733333370604,0.0,0.4898490235866553,0.5302492467460449,66.5373021316031,51.00491351663501,log_total_wages
C(Year)[T.2021],0.5350760468561357,0.010403922780012398,51.43022090514768,0.0,0.5146847329093756,0.5554673608028959,70.75780932623674,53.50760468561357,log_total_wages
C(Year)[T.2022],-30819106084.340546,43986168538.53626,-0.7006544809043765,0.4835186696143525,-117030412237.78044,55392200069.09935,,-3081910608434.0547,log_total_wages
C(Year)[T.2023],-30819106084.280453,43986168538.533936,-0.7006544809030475,0.4835186696151821,-117030412237.71579,55392200069.15488,,-3081910608428.0454,log_total_wages
C(Year)[T.2024],-30819106084.394096,43986168538.53699,-0.7006544809055825,0.4835186696135997,-117030412237.83542,55392200069.04722,,-3081910608439.4097,log_total_wages
post2022,30819106084.92164,43986168538.5385,0.7006544809175518,0.4835186696061282,-55392200068.52264,117030412238.3659,,3081910608492.164,log_total_wages
