term,coef,std_err,t,pvalue,ci_lower,ci_upper,pct,pct_lower,pct_upper
Intercept,11.6641,0.0261,447.4952,0.0,11.612975951088904,11.715149750106269,11631464.48,11052167.15,12241125.3
C(Year)[T.2011],0.0004,0.0074,0.0557,0.96,-0.014044307895021127,0.014865972847790917,0.04,-1.39,1.5
C(Year)[T.2012],0.0305,0.0075,4.0899,0.0,0.015871268628738593,0.04508094966325367,3.09,1.6,4.61
C(Year)[T.2013],0.1164,0.007,16.6428,0.0,0.10265803354825033,0.13006504457352694,12.34,10.81,13.89
C(Year)[T.2014],0.1378,0.007,19.6629,0.0,0.12410066887319696,0.1515800497639336,14.78,13.21,16.37
C(Year)[T.2015],0.1682,0.007,23.9368,0.0,0.15441571249157388,0.18195831852484234,18.32,16.7,19.96
C(Year)[T.2016],0.2046,0.0069,29.849,0.0,0.1911435388176644,0.21800958587135524,22.7,21.06,24.36
"C(EmployerName)[T.University of California, Davis]",0.0183,0.0075,2.4382,0.01,0.0035832479072853522,0.03295364528826686,1.84,0.36,3.35
"C(EmployerName)[T.University of California, Irvine]",-0.0354,0.0082,-4.3154,0.0,-0.05153066402385791,-0.019341637111341632,-3.48,-5.02,-1.92
"C(EmployerName)[T.University of California, Los Angeles]",0.0772,0.0073,10.5465,0.0,0.06283066817991824,0.0915141031860484,8.02,6.48,9.58
"C(EmployerName)[T.University of California, Merced]",-0.0394,0.0117,-3.378,0.0,-0.062314742636342804,-0.016554257084928758,-3.87,-6.04,-1.64
"C(EmployerName)[T.University of California, Office of the President]",-1.0086,0.0073,-138.1407,0.0,-1.022888526310279,-0.9942687588983308,-63.53,-64.04,-63.0
"C(EmployerName)[T.University of California, Riverside]",-0.1238,0.0091,-13.5645,0.0,-0.14163960549007326,-0.10587559646700084,-11.64,-13.21,-10.05
"C(EmployerName)[T.University of California, San Diego]",-0.0025,0.0079,-0.3139,0.75,-0.018068386262556364,0.013079362048049333,-0.25,-1.79,1.32
"C(EmployerName)[T.University of California, San Francisco]",-0.0084,0.0083,-1.0207,0.31,-0.024666352550676174,0.007773359958998548,-0.84,-2.44,0.78
"C(EmployerName)[T.University of California, Santa Barbara]",-0.102,0.0086,-11.8862,0.0,-0.11879681541994468,-0.08516469027272529,-9.7,-11.2,-8.16
"C(EmployerName)[T.University of California, Santa Cruz]",-0.1214,0.0089,-13.6512,0.0,-0.13879687572325178,-0.10394532369534386,-11.43,-12.96,-9.87
C(Rank)[T.Adjunct],-0.7538,0.034,-22.1705,0.0,-0.8204663278040534,-0.6871837755052299,-52.94,-55.98,-49.7
C(Rank)[T.Assistant],-0.6463,0.0259,-24.9552,0.0,-0.6970605087910839,-0.5955403811868898,-47.6,-50.2,-44.87
C(Rank)[T.Associate],-0.3546,0.0258,-13.761,0.0,-0.4050802374250988,-0.30407561223704704,-29.85,-33.31,-26.22
C(Rank)[T.Clinical],-0.0024,0.0267,-0.0908,0.93,-0.054714171959325555,0.049870876400471234,-0.24,-5.32,5.11
C(Rank)[T.Full],0.0678,0.0256,2.6502,0.01,0.017657055103550708,0.11793091779975573,7.01,1.78,12.52
